,r_id,veg_class
192,78122,0
193,20643,2
194,191419,1
195,3537,1
196,82115,1
197,264750,0
198,166973,0
199,26849,0
200,10127,0
201,200799,1
202,67256,0
203,69602,2
204,93051,0
205,205995,1
206,304449,2
207,334362,0
208,349029,1
209,20798,0
210,13577,1
211,22656,2
212,150490,0
213,328739,1
214,60449,2
215,369399,0
216,215778,0
217,147254,0
218,44124,0
219,100122,0
220,154400,2
221,380988,2
222,458008,0
223,333418,0
224,234672,1
225,123357,0
226,150469,0
227,2708,0
228,115372,2
229,410139,1
230,56366,2
231,89207,0
232,81968,0
233,4152,0
234,16358,0
235,108562,0
236,200296,0
237,482047,0
238,118801,0
239,218172,0
240,189019,0
241,310536,0
242,136327,0
243,81891,2
244,464935,1
245,240528,2
246,102111,0
247,134257,0
248,317305,0
249,80975,2
250,34753,0
251,352676,0
252,299152,0
253,72308,0
254,203261,0
255,31371,2
256,87914,2
257,141497,1
258,225354,0
259,95823,0
260,13685,1
261,201865,0
262,232083,2
263,82594,2
264,216744,2
265,178642,0
266,48606,0
267,202859,0
268,38552,0
269,54351,0
270,386749,0
271,50270,1
272,42821,2
273,171073,0
274,200802,2
275,140220,0
276,42126,1
277,371539,0
278,2496,2
279,140382,0
280,7568,1
281,274535,0
282,52212,1
283,332686,0
284,189528,2
285,54283,1
286,267355,2
287,188027,0
288,99284,2
289,113229,0
290,63517,2
291,214973,0
292,71197,0
293,99077,0
294,126407,2
295,44400,2
296,25667,1
297,31037,0
298,64927,1
299,85839,0
300,17186,0
301,160251,2
302,139396,2
303,118761,2
304,68850,2
305,33085,0
306,60981,0
307,63466,1
308,80734,2
309,335376,0
310,23036,1
311,364129,0
312,344609,2
313,355877,2
314,135438,0
315,74594,0
316,94673,0
317,335197,2
318,42564,0
319,81996,0
320,194466,1
321,15420,2
322,112974,0
323,301754,0
324,74651,2
325,264354,1
326,436197,2
327,263674,0
328,77654,0
329,22201,0
330,54225,0
331,13269,0
332,129114,2
333,33777,2
334,185753,1
335,486641,0
336,28208,0
337,434140,0
338,38705,0
339,425661,0
340,382235,1
341,61747,0
342,156144,0
343,50896,0
344,49896,1
345,40865,2
346,43320,1
347,190410,0
348,79427,0
349,232902,1
350,109264,2
351,505636,0
352,374417,0
353,459075,0
354,84545,2
355,118047,0
356,54184,2
357,2670,2
358,159618,1
359,287636,0
360,19090,2
361,32014,1
362,135090,1
363,88038,1
364,73921,2
365,208401,0
366,210419,0
367,345328,0
368,78814,0
369,201001,1
370,188586,1
371,10459,2
372,10353,0
373,310818,0
374,94195,0
375,83205,0
376,38564,0
377,177539,0
378,48855,0
379,103767,0
380,125238,0
381,71203,0
382,484315,0
383,332695,0
384,112705,0
385,231194,1
386,98636,1
387,321466,1
388,61141,2
389,63509,0
390,295679,1
391,37241,2
392,173003,0
393,239472,0
394,409844,0
395,273842,0
396,161530,0
397,33869,0
398,354028,2
399,439307,0
400,10614,0
401,101933,0
402,184950,0
403,431071,0
404,133062,2
405,41893,1
406,37200,0
407,241181,0
408,14808,1
409,147496,2
410,57124,0
411,34881,0
412,87774,1
413,119255,0
414,258558,0
415,108766,2
416,134183,0
417,81367,0
418,14911,2
419,60849,0
420,103215,2
421,224702,2
422,75141,0
423,25972,0
424,416010,1
425,4050,1
426,174938,2
427,184537,0
428,233240,0
429,66976,0
430,422599,0
431,215042,0
432,162877,0
433,294481,2
434,103409,0
435,428285,2
436,15551,0
437,306987,0
438,389275,0
439,57919,1
440,3180,2
441,221777,2
442,40982,0
443,359230,0
444,46922,0
445,90246,0
446,246989,1
447,47391,0
448,119417,2
449,72631,2
450,47188,1
451,36140,0
452,218856,0
453,111734,1
454,204259,0
455,170434,0
456,56315,1
457,168622,2
458,383929,1
459,442977,0
460,55840,2
461,157069,0
462,92095,1
463,41040,0
464,133562,0
465,77978,0
466,179972,1
467,160394,0
468,380078,0
469,514605,0
470,114514,0
471,350624,2
472,152347,0
473,68358,0
474,78017,2
475,221675,0
476,464087,2
477,312216,0
478,117194,0
479,19766,0
480,78194,0
481,3579,0
482,205093,0
483,52892,1
484,14991,2
485,180306,2
486,9979,0
487,238542,2
488,304276,2
489,2526,0
490,16584,0
491,36431,2
492,70037,0
493,27520,1
494,38783,0
495,356904,2
496,100798,0
497,38846,0
498,138709,0
499,16769,0
500,43826,2
501,90941,1
502,208188,0
503,147262,2
504,83547,2
505,139694,0
506,224770,0
507,128350,0
508,265936,2
509,124074,0
510,293494,2
511,104399,0
512,176286,0
513,156833,2
514,290246,0
515,301497,0
516,98783,0
517,15397,0
518,171616,0
519,54752,1
520,37318,1
521,53473,0
522,211839,1
523,208258,0
524,288440,2
525,243965,2
526,274683,2
527,60863,2
528,81115,0
529,346605,0
530,249216,0
531,248771,2
532,41142,0
533,353610,0
534,185533,2
535,270279,2
536,44729,2
537,147497,0
538,15700,0
539,200168,0
540,83828,0
541,294196,0
542,66603,2
543,218288,0
544,372083,0
545,94055,0
546,269713,2
547,100762,0
548,459093,0
549,40983,0
550,60235,2
551,9506,0
552,28670,2
553,5287,0
554,424183,2
555,177500,0
556,284939,0
557,22986,0
558,56307,1
559,23645,0
560,380608,0
561,185445,0
562,117836,0
563,85350,0
564,162138,2
565,268944,0
566,84427,2
567,7728,0
568,51933,0
569,377411,0
570,29833,2
571,199171,2
572,363280,2
573,108524,2
574,293905,0
575,138565,0
576,242125,0
577,50816,0
578,88453,0
579,76470,0
580,119438,1
581,2264,1
582,199604,2
583,226673,0
584,285195,0
585,116849,0
586,40869,0
587,178186,2
588,484513,0
589,68876,0
590,76891,2
591,190953,0
592,227257,2
593,218280,2
594,28377,2
595,188706,0
596,247965,0
597,463509,1
598,23766,0
599,50101,2
600,4167,2
601,274329,1
602,431542,0
603,73355,0
604,373245,2
605,75894,0
606,85373,2
607,229618,0
608,108225,0
609,52620,0
610,47610,0
611,326754,0
612,13098,1
613,34667,1
614,201758,2
615,99712,1
616,136517,2
617,67733,0
618,26820,2
619,23821,0
620,269038,0
621,35096,2
622,64267,1
623,79034,0
624,10136,0
625,227542,2
626,105545,1
627,71273,0
628,15963,0
629,9727,0
630,78707,2
631,167797,0
632,66093,0
633,262553,0
634,45330,0
635,16325,0
636,12080,0
637,28768,0
638,483015,0
639,482290,0
640,88330,1
641,367498,0
642,511199,2
643,40832,2
644,326661,1
645,74554,2
646,54343,0
647,26191,0
648,83141,1
649,253722,0
650,500707,0
651,535690,2
652,79325,0
653,307154,0
654,82486,0
655,415661,0
656,31516,0
657,58760,0
658,202390,0
659,50291,0
660,155959,0
661,243293,0
662,186432,1
663,328537,0
664,48258,1
665,116989,2
666,406331,0
667,250852,0
668,48641,0
669,307927,0
670,82191,0
671,60136,1
672,103443,0
673,68178,2
674,117780,0
675,503558,2
676,408294,0
677,28140,0
678,152441,1
679,422466,0
680,72780,0
681,97745,2
682,11619,0
683,154142,0
684,5194,0
685,29829,0
686,39369,0
687,33671,0
688,89105,0
689,12785,2
690,29155,0
691,466716,1
692,341042,0
693,28500,0
694,101104,1
695,139310,1
696,18725,2
697,101651,0
698,261394,0
699,44849,0
700,137724,2
701,280797,2
702,354141,1
703,198962,0
704,179233,2
705,34639,0
706,121200,0
707,208155,2
708,285853,1
709,264447,0
710,74099,1
711,8596,0
712,90323,0
713,4089,0
714,263699,2
715,105737,0
716,481310,2
717,164706,0
718,271003,0
719,26257,1
720,270975,0
721,412049,2
722,185438,0
723,83561,0
724,26487,1
725,147797,0
726,209670,1
727,119168,0
728,12699,0
729,292827,1
730,342234,1
731,128586,0
732,27714,1
733,150863,0
734,122851,0
735,4945,0
736,288252,0
737,10733,2
738,50684,0
739,309754,1
740,16489,0
741,172190,0
742,16320,2
743,443758,2
744,269456,0
745,43509,0
746,226218,0
747,274796,2
748,273322,0
749,146708,0
750,180569,0
751,181186,0
752,299075,0
753,2886,0
754,43119,2
755,87380,0
756,111370,0
757,53326,0
758,464936,0
759,123854,0
760,121676,0
761,165604,0
762,90322,2
763,239801,0
764,110604,1
765,21812,0
766,31209,0
767,38644,2
768,55661,0
769,386187,0
770,232487,0
771,159084,0
772,7949,2
773,210577,0
774,186122,0
775,97838,2
776,307752,0
777,405150,0
778,242760,2
779,221003,0
780,159900,0
781,39681,0
782,95266,1
783,350006,0
784,291607,1
785,268266,1
786,89343,0
787,93886,0
788,384019,0
789,432677,2
790,9351,1
791,90000,2
792,242319,0
793,31690,2
794,137725,0
795,171309,0
796,199376,0
797,822,0
798,10889,1
799,284370,1
800,238039,1
801,30454,2
802,155248,0
803,80336,2
804,291562,0
805,224213,0
806,58841,0
807,52147,0
808,135850,0
809,356811,0
810,235909,2
811,384111,0
812,88585,0
813,139654,0
814,297,1
815,155018,0
816,134448,0
817,543,0
818,272815,1
819,36023,0
820,265826,2
821,95222,0
822,13982,0
823,156363,0
824,178604,0
825,145493,0
826,209168,2
827,166786,2
828,47937,0
829,123304,0
830,60316,0
831,41798,0
832,149376,0
833,302915,2
834,164886,0
835,114575,0
836,47612,2
837,384977,0
838,137539,0
839,191198,0
840,212682,0
841,269925,1
842,78099,0
843,95086,0
844,86516,2
845,32015,0
846,112475,0
847,131505,0
848,78088,0
849,174337,0
850,43331,0
851,28467,1
852,31560,0
853,251801,0
854,99476,0
855,187362,2
856,308956,2
857,112082,1
858,249585,0
859,80667,1
860,79867,2
861,108375,1
862,536,0
863,12967,0
864,30887,0
865,191134,0
866,16587,2
867,10876,1
868,39087,1
869,31672,0
870,23622,0
871,56748,0
872,390982,0
873,16911,0
874,271613,2
875,241139,0
876,35950,0
877,43850,0
878,83418,1
879,16887,0
880,30008,0
881,187372,1
882,125399,2
883,76732,0
884,42203,0
885,355804,0
886,206070,0
887,72467,2
888,254777,1
889,108364,1
890,149761,2
891,375927,1
892,66157,2
893,215988,0
894,67426,0
895,329993,1
896,88243,2
897,186273,0
898,169052,0
899,431612,2
900,13750,0
901,132032,0
902,182471,0
903,458339,0
904,61632,0
905,241027,0
906,2772,0
907,26949,0
908,8097,2
909,155963,0
910,96467,1
911,533821,0
912,168047,0
913,192707,0
914,348652,0
915,279456,2
916,45437,0
917,457443,0
918,31930,1
919,48907,0
920,84270,0
921,108572,0
922,236710,1
923,7678,2
924,418309,0
925,18950,0
926,310322,0
927,252224,0
928,44468,0
929,144220,0
930,23732,0
931,136394,0
932,40452,0
933,17882,0
934,328132,0
935,304191,0
936,491079,0
937,25825,0
938,149363,1
939,59732,0
940,73089,0
941,87970,1
942,229434,0
943,78684,0
944,323794,0
945,88949,1
946,187812,0
947,100315,2
948,94249,0
949,346155,2
950,43603,0
951,100115,2
952,88804,2
953,51104,2
954,107281,0
955,11536,1
956,153062,2
957,30565,2
958,57461,1
959,30946,2
960,23431,0
961,51537,0
962,50657,1
963,384965,0
964,53751,0
965,28150,1
966,205639,0
967,191855,1
968,93713,0
969,120937,0
970,486981,0
971,37040,0
972,177792,0
973,64226,2
974,54617,0
975,199332,0
976,48331,0
977,93592,0
978,196087,0
979,415272,0
980,38746,0
981,73052,0
982,47438,2
983,903,0
984,231311,0
985,43543,2
986,39596,0
987,180305,0
988,97590,0
989,68119,0
990,205890,1
991,122182,0
992,264120,0
993,486261,0
994,24799,2
995,43552,1
996,128564,1
997,246498,0
998,252558,1
999,75617,1
1000,29002,1
1001,233418,1
1002,411314,2
1003,20549,0
1004,141522,0
1005,12521,0
1006,120584,2
1007,22366,2
1008,173082,0
1009,35419,1
1010,109697,0
1011,176072,2
1012,404963,0
1013,69173,2
1014,84076,0
1015,139914,0
1016,439679,0
1017,12877,0
1018,39345,0
1019,106199,0
1020,462045,0
1021,297125,0
1022,311366,2
1023,30030,2
1024,101038,0
1025,227924,0
1026,52282,0
1027,178102,0
1028,15242,0
1029,134779,0
1030,193957,0
1031,209819,0
1032,29679,0
1033,260639,2
1034,216256,0
1035,34398,2
1036,52253,0
1037,56304,0
1038,56836,2
1039,37780,0
1040,242473,0
1041,87075,2
1042,413483,2
1043,85153,1
1044,180357,0
1045,501151,0
1046,32318,1
1047,211360,0
1048,63115,0
1049,100727,2
1050,239205,0
1051,23687,0
1052,144541,0
1053,43522,0
1054,54016,0
1055,147987,0
1056,138394,0
1057,150898,0
1058,353757,2
1059,190516,2
1060,420398,0
1061,118112,2
1062,70646,0
1063,18988,0
1064,70282,0
1065,116243,2
1066,389433,0
1067,247924,0
1068,103657,1
1069,116971,0
1070,312290,2
1071,178779,0
1072,810,0
1073,460559,1
1074,101698,0
1075,31901,0
1076,325571,0
1077,10729,1
1078,50144,0
1079,96988,2
1080,26110,1
1081,457772,1
1082,403512,1
1083,26479,2
1084,136733,0
1085,165351,0
1086,30501,0
1087,67468,0
1088,260011,0
1089,3975,1
1090,90361,1
1091,28943,0
1092,65871,0
1093,155629,0
1094,21706,0
1095,73194,0
1096,237002,1
1097,40494,0
1098,67654,0
1099,26111,0
1100,340829,0
1101,249334,1
1102,261072,1
1103,46305,2
1104,222188,0
1105,86973,0
1106,65011,1
1107,310956,0
1108,249726,0
1109,144990,1
1110,250094,0
1111,68955,0
1112,23099,0
1113,90674,2
1114,19242,0
1115,119398,2
1116,399976,0
1117,276380,0
1118,180050,0
1119,108460,0
1120,124096,0
1121,48532,0
1122,287911,2
1123,336447,0
1124,112724,0
1125,25395,1
1126,9023,0
1127,81029,2
1128,29166,2
1129,312125,0
1130,154433,2
1131,134486,0
1132,231927,0
1133,17089,0
1134,187415,0
1135,31566,0
1136,187901,0
1137,142464,2
1138,513249,2
1139,20684,0
1140,15072,0
1141,8410,0
1142,29764,1
1143,384151,0
1144,312033,0
1145,84247,0
1146,143344,1
1147,527646,0
1148,288010,2
1149,449452,0
1150,322280,0
1151,26143,0
1152,241498,0
1153,12192,0
1154,68587,0
1155,278207,1
1156,9836,0
1157,444466,0
1158,187266,1
1159,90263,0
1160,3558,2
1161,275783,0
1162,30469,0
1163,86615,0
1164,9989,0
1165,250787,0
1166,357125,2
1167,375531,0
1168,74048,0
1169,210020,0
1170,99103,0
1171,183497,0
1172,78824,0
1173,101524,1
1174,17251,0
1175,220174,0
1176,44115,0
1177,43186,0
1178,146370,0
1179,36990,2
1180,224960,0
1181,64861,0
1182,379792,2
1183,120326,0
1184,63147,1
1185,48930,2
1186,134873,0
1187,129255,2
1188,110568,2
1189,130411,0
1190,384323,0
1191,56652,0
1192,49172,0
1193,59636,0
1194,66585,0
1195,17598,0
1196,64806,0
1197,209939,0
1198,330034,2
1199,43150,0
1200,69281,2
1201,426031,1
1202,32204,0
1203,37531,0
1204,385878,1
1205,43819,2
1206,449529,0
1207,196881,0
1208,264604,0
1209,264106,0
1210,12619,0
1211,155541,2
1212,345287,0
1213,77316,2
1214,29172,0
1215,490243,2
1216,85064,2
1217,173673,0
1218,458943,0
1219,26157,0
1220,196167,0
1221,165570,0
1222,77497,0
1223,92160,0
1224,63114,0
1225,464567,1
1226,310390,0
1227,26984,0
1228,122338,0
1229,128952,2
1230,208035,0
1231,101699,0
1232,65548,0
1233,421554,2
1234,65768,1
1235,371377,0
1236,89856,1
1237,216237,0
1238,135477,2
1239,209492,2
1240,157239,0
1241,63138,1
1242,54692,1
1243,132263,0
1244,161828,0
1245,302120,1
1246,316576,0
1247,29068,2
1248,88405,0
1249,172060,0
1250,472445,0
1251,28738,2
1252,7588,0
1253,176420,0
1254,95612,0
1255,294933,0
1256,233479,0
1257,85993,2
1258,234179,0
1259,304969,1
1260,286493,2
1261,38631,0
1262,126053,1
1263,183673,0
1264,272997,0
1265,131075,0
1266,132469,2
1267,362382,1
1268,148903,1
1269,385203,2
1270,25360,2
1271,97098,0
1272,158283,0
1273,173,0
1274,441399,2
1275,42282,2
1276,385269,0
1277,300198,0
1278,21959,0
1279,66703,2
1280,66917,0
1281,12039,2
1282,167468,0
1283,248716,2
1284,426805,1
1285,114051,0
1286,91501,2
1287,44040,0
1288,12598,2
1289,255559,2
1290,27208,0
1291,78579,0
1292,98869,0
1293,440642,1
1294,21547,1
1295,173017,1
1296,179391,2
1297,75452,0
1298,488253,1
1299,96710,0
1300,121838,0
1301,87925,0
1302,111514,0
1303,394564,2
1304,79975,0
1305,174645,2
1306,234326,0
1307,41836,0
1308,12626,0
1309,17987,2
1310,62796,1
1311,35282,0
1312,183126,2
1313,97312,0
1314,38298,0
1315,25600,2
1316,169509,1
1317,413023,2
1318,121780,0
1319,73469,2
1320,42834,2
1321,318441,0
1322,303173,1
1323,33665,0
1324,149462,0
1325,60520,1
1326,42886,0
1327,52595,0
1328,7594,2
1329,24521,0
1330,31694,0
1331,81635,0
1332,52230,0
1333,89204,2
1334,419319,0
1335,113506,0
1336,289140,2
1337,9061,1
1338,32042,2
1339,49534,0
1340,292764,1
1341,9970,1
1342,110733,0
1343,466799,0
1344,416349,0
1345,360842,0
1346,244469,0
1347,383454,1
1348,98273,2
1349,296425,2
1350,21741,2
1351,87026,0
1352,178865,0
1353,18577,0
1354,49340,0
1355,247848,0
1356,51997,1
1357,204462,2
1358,48031,0
1359,191135,0
1360,27547,1
1361,220219,0
1362,154147,2
1363,10309,1
1364,38953,1
1365,364515,2
1366,89155,0
1367,241306,1
1368,37273,0
1369,47764,0
1370,10135,0
1371,514965,2
1372,16652,0
1373,121044,0
1374,11912,0
1375,153556,1
1376,466197,0
1377,75448,0
1378,330032,2
1379,478552,0
1380,61331,0
1381,20155,1
1382,215240,1
1383,358268,2
1384,215414,1
1385,231031,0
1386,346953,0
1387,4065,1
1388,238556,0
1389,314941,0
1390,5122,1
1391,90331,2
1392,118852,1
1393,30980,0
1394,327777,2
1395,241430,2
1396,14580,0
1397,340657,1
1398,432217,0
1399,392057,0
1400,420310,0
1401,37760,0
1402,57130,2
1403,29767,1
1404,208686,0
1405,14561,0
1406,351631,0
1407,203066,2
1408,125515,0
1409,31177,0
1410,58385,0
1411,349962,0
1412,59940,0
1413,12458,0
1414,126467,2
1415,151301,0
1416,59776,0
1417,251149,0
1418,112398,2
1419,53431,2
1420,305615,1
1421,8782,0
1422,18387,2
1423,30217,0
1424,60506,2
1425,194514,2
1426,485686,1
1427,41950,0
1428,221043,2
1429,420104,2
1430,477795,0
1431,105080,2
1432,1693,0
1433,29416,0
1434,468197,0
1435,34450,2
1436,120444,0
1437,18348,2
1438,75706,0
1439,473361,0
1440,27933,1
1441,279258,0
1442,336374,0
1443,116053,0
1444,396711,1
1445,48588,2
1446,301233,0
1447,119337,0
1448,22782,0
1449,351932,2
1450,118074,2
1451,23060,1
1452,181770,0
1453,31656,0
1454,406603,1
1455,80498,2
1456,8656,0
1457,64421,1
1458,268428,0
1459,62778,1
1460,26846,1
1461,146043,0
1462,57053,0
1463,295429,0
1464,55673,2
1465,51936,2
1466,44587,1
1467,480776,0
1468,24253,1
1469,54820,0
1470,115609,0
1471,71344,2
1472,249974,2
1473,432430,0
1474,30004,1
1475,104134,1
1476,13158,0
1477,64189,2
1478,55506,0
1479,436085,0
1480,30951,0
1481,74730,0
1482,25065,0
1483,230739,0
1484,62814,0
1485,32844,0
1486,333071,0
1487,17591,0
1488,131427,0
1489,35805,0
1490,61236,0
1491,63586,0
1492,307575,1
1493,83268,0
1494,52348,0
1495,27631,0
1496,129811,2
1497,187008,0
1498,50453,0
1499,94972,2
1500,101693,2
1501,56407,1
1502,103942,2
1503,186207,1
1504,211916,0
1505,55111,2
1506,102184,2
1507,309730,2
1508,182377,0
1509,234531,2
1510,77554,0
1511,73166,0
1512,257276,1
1513,48839,2
1514,193829,2
1515,45912,0
1516,93283,0
1517,221116,2
1518,347120,2
1519,87486,0
1520,138455,1
1521,210757,2
1522,182327,0
1523,48746,0
1524,107235,2
1525,20289,2
1526,155564,1
1527,51081,0
1528,50938,0
1529,219801,0
1530,84612,2
1531,457550,0
1532,76296,0
1533,77430,0
1534,27653,1
1535,131961,1
1536,31584,0
1537,37596,0
1538,34780,0
1539,279253,2
1540,26987,0
1541,47156,0
1542,13813,0
1543,31717,0
1544,327744,0
1545,8667,0
1546,493504,0
1547,183565,2
1548,307061,1
1549,49547,1
1550,92094,0
1551,43152,1
1552,305971,2
1553,47195,0
1554,17366,0
1555,104219,0
1556,373502,0
1557,27946,1
1558,238539,0
1559,188217,0
1560,61362,2
1561,123843,1
1562,140004,1
1563,43181,0
1564,55172,0
1565,117532,0
1566,212183,0
1567,238839,2
1568,123758,0
1569,334937,0
1570,7879,0
1571,219053,0
1572,63217,2
1573,518280,0
1574,166443,0
1575,102345,2
1576,444183,1
1577,213057,0
1578,198825,2
1579,117156,0
1580,27475,0
1581,111797,1
1582,299296,0
1583,61281,2
1584,32857,0
1585,186237,0
1586,71109,0
1587,266100,0
1588,210541,1
1589,154967,1
1590,198707,0
1591,192786,0
1592,103762,0
1593,26370,1
1594,133338,0
1595,131916,0
1596,278644,2
1597,213901,2
1598,29569,0
1599,16531,0
1600,28207,2
1601,45780,0
1602,263774,0
1603,341117,0
1604,404302,0
1605,77176,0
1606,79715,0
1607,201357,2
1608,314186,0
1609,55538,2
1610,9326,1
1611,56452,1
1612,12438,1
1613,164389,0
1614,207927,2
1615,66294,1
1616,19785,1
1617,380372,0
1618,62318,0
1619,68432,0
1620,128583,0
1621,90962,1
1622,85157,0
1623,71187,0
1624,151189,0
1625,228987,2
1626,91020,2
1627,480389,0
1628,71489,0
1629,163092,0
1630,214779,0
1631,120106,2
1632,205565,0
1633,332684,0
1634,289750,0
1635,116878,0
1636,105716,0
1637,114558,1
1638,338267,0
1639,114320,0
1640,31502,2
1641,293491,0
1642,228565,1
1643,318030,2
1644,39478,0
1645,232055,2
1646,48029,0
1647,36249,0
1648,136201,0
1649,74659,1
1650,184390,0
1651,101424,1
1652,134666,0
1653,63734,0
1654,337063,0
1655,395228,0
1656,187477,1
1657,66675,0
1658,29567,0
1659,348562,0
1660,112889,0
1661,101816,2
1662,51750,0
1663,446165,2
1664,67234,0
1665,121185,2
1666,146427,0
1667,383180,2
1668,97672,0
1669,304573,1
1670,50719,0
1671,192665,0
1672,219474,1
1673,56541,2
1674,8581,0
1675,349136,0
1676,59588,0
1677,239757,0
1678,420377,0
1679,12742,2
1680,198138,0
1681,327810,1
1682,32638,1
1683,36784,0
1684,335122,0
1685,533127,0
1686,152636,0
1687,96563,0
1688,235952,2
1689,448392,2
1690,245490,2
1691,65963,1
1692,10155,0
1693,441366,0
1694,189664,0
1695,49400,0
1696,26671,0
1697,480363,1
1698,9254,0
1699,255121,0
1700,134234,2
1701,37490,1
1702,47721,1
1703,206582,0
1704,336526,0
1705,32062,0
1706,147508,0
1707,144814,2
1708,331271,0
1709,32310,0
1710,80434,0
1711,33330,1
1712,29570,2
1713,256206,0
1714,129838,0
1715,340863,0
1716,109767,0
1717,77052,1
1718,193624,2
1719,38454,0
1720,64877,2
1721,451785,2
1722,246175,1
1723,39466,0
1724,398070,2
1725,56818,0
1726,106228,0
1727,289923,0
1728,359513,0
1729,67280,0
1730,190835,0
1731,135619,0
1732,102598,0
1733,242034,0
1734,102073,2
1735,23189,2
1736,266405,0
1737,415600,2
1738,211947,0
1739,63828,0
1740,229567,0
1741,185498,2
1742,130060,0
1743,106555,1
1744,406757,1
1745,26976,2
1746,35927,0
1747,85139,2
1748,362346,0
1749,75140,0
1750,208160,0
1751,273041,0
1752,349246,0
1753,372746,0
1754,117325,0
1755,206391,1
1756,70239,2
1757,118361,0
1758,107595,2
1759,58542,0
1760,24763,1
1761,179299,2
1762,330129,0
1763,108601,0
1764,232433,0
1765,335534,2
1766,4217,2
1767,92446,0
1768,319653,2
1769,73488,0
1770,129610,0
1771,119373,0
1772,286017,1
1773,194694,0
1774,82944,0
1775,76,2
1776,385520,0
1777,35410,0
1778,163482,0
1779,315723,0
1780,150219,0
1781,67828,0
1782,321529,0
1783,35185,1
1784,145375,2
1785,272650,2
1786,110555,0
1787,13320,1
1788,114392,0
1789,31607,1
1790,2501,0
1791,54485,0
1792,268175,0
1793,13367,0
1794,61514,0
1795,255155,2
1796,201657,1
1797,134984,0
1798,203886,0
1799,369678,0
1800,315101,1
1801,310482,0
1802,49875,1
1803,441944,0
1804,176403,2
1805,18100,0
1806,185597,0
1807,178693,1
1808,290041,0
1809,90325,2
1810,109872,0
1811,463168,2
1812,174568,0
1813,265711,0
1814,50178,0
1815,35160,0
1816,161324,1
1817,107606,2
1818,12194,1
1819,459768,0
1820,95068,2
1821,213880,1
1822,62459,2
1823,114127,0
1824,139511,0
1825,76560,0
1826,259088,0
1827,48167,0
1828,252423,1
1829,192814,0
1830,343768,2
1831,160762,0
1832,384069,0
1833,68659,1
1834,28199,0
1835,117284,0
1836,97782,2
1837,39801,1
1838,116185,0
1839,144439,1
1840,232567,2
1841,133746,0
1842,20125,2
1843,348119,0
1844,36017,2
1845,225964,1
1846,2570,2
1847,573,0
1848,61774,1
1849,124269,2
1850,365123,0
1851,334717,0
1852,89020,0
1853,51647,0
1854,61616,1
1855,280037,0
1856,123681,0
1857,244727,2
1858,62343,0
1859,389024,1
1860,132765,1
1861,107832,0
1862,287930,2
1863,64468,2
1864,12354,1
1865,191225,2
1866,33919,0
1867,93757,0
1868,281042,0
1869,81205,1
1870,65427,2
1871,213359,0
1872,381644,0
